Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N5817","D_SMA_Handsoldering",198.000000,-108.250000,-90.000000,bottom
"J3","JST_02","BatteryHolder_Keystone_1042_1x18650",156.380000,-117.250000,180.000000,bottom
"C1","27 pF","C_0805_2012Metric",130.750000,-119.000000,0.000000,top
"C2","27 pF","C_0805_2012Metric",130.750000,-126.000000,0.000000,top
"C3","100 nF","C_0805_2012Metric",122.500000,-125.500000,0.000000,top
"C4","100 nF","C_0805_2012Metric",120.500000,-127.750000,180.000000,top
"C5","100 nF","C_0805_2012Metric",122.750000,-121.500000,180.000000,top
"C6","100 nF","C_0805_2012Metric",121.250000,-119.500000,180.000000,top
"C7","100 nF","C_0805_2012Metric",114.500000,-118.250000,0.000000,top
"C8","100 nF","C_0805_2012Metric",115.000000,-120.250000,0.000000,top
"C9","100 nF","C_0805_2012Metric",114.750000,-124.250000,0.000000,top
"C10","220 pF","C_0805_2012Metric",122.150000,-115.600000,0.000000,top
"C11","3.9 pF","C_0805_2012Metric",117.250000,-117.500000,-90.000000,top
"C12","8.2 pF","C_0805_2012Metric",121.000000,-109.250000,0.000000,top
"C13","220 pF","C_0805_2012Metric",120.500000,-104.200000,90.000000,top
"C14","3.9 pF","C_0805_2012Metric",119.400000,-114.050000,90.000000,top
"C15","5.6 pF","C_0805_2012Metric",117.750000,-105.250000,180.000000,top
"C16","0.1 uF","C_0805_2012Metric",164.300000,-138.000000,0.000000,top
"C17","0.1 uF","C_0805_2012Metric",169.250000,-135.500000,0.000000,top
"C18","22 uF","C_0805_2012Metric",184.623100,-117.000000,0.000000,top
"C19","4.7 uF","C_0805_2012Metric",187.123100,-109.250000,0.000000,top
"C20","100 nF","C_0805_2012Metric",172.500000,-137.500000,0.000000,top
"C21","22 pF","C_0805_2012Metric",151.331250,-114.581250,180.000000,top
"C22","22 pF","C_0805_2012Metric",151.331250,-109.081250,180.000000,top
"C23","10 nF","C_0805_2012Metric",136.831250,-118.081250,90.000000,top
"C24","1 nF","C_0805_2012Metric",138.831250,-118.081250,-90.000000,top
"C25","2.2 nF","C_0805_2012Metric",143.581250,-105.581250,0.000000,top
"C26","4.7 pF","C_0805_2012Metric",144.081250,-111.581250,90.000000,top
"C27","1.5 pF","C_0805_2012Metric",140.331250,-106.331250,90.000000,top
"C28","1 pF","C_0805_2012Metric",139.581250,-103.581250,0.000000,top
"C29","100 nF","C_0805_2012Metric",135.200000,-131.700000,180.000000,top
"C30","100 nF","C_0805_2012Metric",110.750000,-131.980000,90.000000,top
"C31","10 uF","C_0805_2012Metric",138.700000,-131.700000,180.000000,top
"C32","10 uF","C_0805_2012Metric",113.000000,-131.980000,90.000000,top
"C33","10 nF","C_0805_2012Metric",147.081250,-117.331250,180.000000,top
"C34","1 nF","C_0805_2012Metric",147.100000,-119.400000,0.000000,top
"D2","LED","LED_1206_3216Metric",181.483100,-105.500000,90.000000,top
"D3","LED","LED_1206_3216Metric",184.873100,-105.500000,90.000000,top
"D4","LED","LED_1206_3216Metric",188.500000,-105.500000,90.000000,top
"D5","1N5817","D_SMA_Handsoldering",150.530000,-134.825000,180.000000,top
"D6","1N5817","D_SMA_Handsoldering",190.500000,-115.250000,90.000000,top
"H1","MountingHole_Pad","MountingHole_2.2mm_M2_DIN965_Pad",108.300000,-145.600000,0.000000,top
"H2","MountingHole_Pad","MountingHole_2.2mm_M2_DIN965_Pad",108.200000,-98.900000,0.000000,top
"H3","MountingHole_Pad","MountingHole_2.2mm_M2_DIN965_Pad",200.400000,-145.600000,0.000000,top
"H4","MountingHole_Pad","MountingHole_2.2mm_M2_DIN965_Pad",200.400000,-98.800000,0.000000,top
"J1","CQ-USB-C16PSMT01","SHENZHEN-CHUANGQIN-TECHNOLOGY_CQ-USB-C16PSMT01",159.250000,-141.177500,0.000000,top
"J2","PINHD_1x8_Female","PinSocket_1x08_P2.54mm_Vertical",107.750000,-132.870000,180.000000,top
"J5","142-0701-501","SMA_Molex_73251-1153_EdgeMount_Horizontal",120.500000,-99.750000,-90.000000,top
"J6","MSD-4-A","CUI_MSD-4-A",135.050000,-141.750000,0.000000,top
"J7","142-0701-501","SMA_Molex_73251-1153_EdgeMount_Horizontal",140.831250,-99.801250,-90.000000,top
"L1","27 nH","L_0805_2012Metric",120.750000,-117.500000,180.000000,top
"L2","27 nH","L_0805_2012Metric",117.500000,-114.000000,90.000000,top
"L3","22 nH","L_0805_2012Metric",119.500000,-111.250000,0.000000,top
"L4","27 nH","L_0805_2012Metric",119.750000,-107.250000,180.000000,top
"L5","2.7 nH","L_0805_2012Metric",142.181250,-109.831250,90.000000,top
"L6","8.2 nH","L_0805_2012Metric",141.341250,-112.431250,0.000000,top
"L7","3.9 nH","L_0805_2012Metric",140.331250,-109.831250,90.000000,top
"R1","56K","R_0805_2012Metric",114.750000,-122.250000,180.000000,top
"R2","5.1k","R_0805_2012Metric",161.000000,-138.250000,90.000000,top
"R3","330","R_0805_2012Metric",183.123100,-101.500000,-90.000000,top
"R4","3.6k","R_0805_2012Metric",181.873100,-117.587500,-90.000000,top
"R5","100","R_0805_2012Metric",188.500000,-101.250000,-90.000000,top
"R6","5.1k","R_0805_2012Metric",157.750000,-138.250000,-90.000000,top
"R7","1M","R_0805_2012Metric",150.581250,-111.831250,-90.000000,top
"R8","22k","R_0805_2012Metric",138.168750,-114.331250,180.000000,top
"R9","10k","R_0805_2012Metric",182.750000,-134.250000,90.000000,top
"R10","10k","R_0805_2012Metric",177.500000,-134.250000,90.000000,top
"R11","10k","R_0805_2012Metric",189.875000,-121.750000,0.000000,top
"SW1","RotaryEncoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",188.100000,-132.800000,0.000000,top
"SW2","SW_Push","SW_SPST_EVQPE1",178.500000,-140.000000,90.000000,top
"SW3","SW_Push","SW_SPST_EVQPE1",183.800000,-140.000000,90.000000,top
"SW4","SW_Push","SW_SPST_PTS645Sx43SMTR92",196.900000,-124.200000,0.000000,top
"SW5","SW_Nidec_CAS-120A1","SW_Slide_SPDT_Angled_CK_OS102011MA1Q",171.000000,-146.750000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",148.500000,-141.200000,90.000000,top
"U2","AP2112K-3.3TRG1","SOT95P285X140-5N",184.750000,-130.435000,-90.000000,top
"U3","CH343P","QFN50P300X300X80-17N",168.500000,-138.805000,-90.000000,top
"U4","CN3063-SOIC8","SOIC8-1.27-5X4MM",182.873100,-112.000000,0.000000,top
"U5","NRF24L01","QFN50P400X400X95-21N",142.581250,-116.031250,90.000000,top
"U8","CC1101","QLP20",118.750000,-123.280000,90.000000,top
"U11","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",167.850000,-118.990000,0.000000,top
"Y1","26MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering",126.750000,-122.500000,-90.000000,top
"Y2","16MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering",147.331250,-111.681250,90.000000,top
